State,Value
1,-0.603716957
1,-0.603716957
11,-0.03151247
1,-0.600312563
         1 1,-0.03151247
11,-0.03151247
111,-0.63024941
1,-0.603716957
        1  1,-0.03151247
        1 1 ,-0.03151247
        1 11,-0.665166275
11,-0.03151247
        11 1,-0.788109916
111,-0.63024941
1111,-0.944191552
1,-0.004980018
       1   1,-0.03151247
       1  1 ,-0.03151247
       1  11,-0.703855321
       1 1  ,-0.03151247
       1 1 1,-0.668938457
       1 11 ,-0.665166275
       1 111,-0.034916865
11,0
       11  1,-0.703855321
       11 1 ,-1.498369815
       11 11,0.740900338
111,-0.703855321
       111 1,0
1111,-0.163974662
11111,-0.868120405
1,-0.635229428
      1    1,0.631907961
      1   1 ,-0.03151247
      1   11,-0.703855321
      1  1  ,-0.03151247
      1  1 1,-0.95
      1  11 ,0.033171022
      1  111,-0.95
      1 1   ,0
      1 1  1,-0.95
      1 1 1 ,-0.857375
      1 1 11,-0.034916865
      1 11  ,-0.904875
      1 11 1,1.609806276
      1 111 ,-0.95
      1 1111,-1.729895093
11,0
      11   1,-0.665166275
      11  1 ,-0.740609916
      11  11,-0.034916865
      11 1  ,-0.703855321
      11 1 1,0.624731384
      11 11 ,-0.073605912
      11 111,-0.788706046
111,-0.665166275
      111  1,0
      111 1 ,0
      111 11,-1.607611984
1111,0.81450625
      1111 1,-1.594401343
11111,-0.820620405
111111,0.918442203
1,-0.635229428
     1     1,-0.03151247
     1    1 ,-0.03151247
     1    11,-0.708035025
     1   1  ,-0.03151247
     1   1 1,0.033171022
     1   11 ,0.033171022
     1   111,-0.034916865
     1  1   ,-0.03151247
     1  1  1,-0.703855321
     1  1 1 ,-1.608730321
     1  1 11,-0.034916865
     1  11  ,-0.665166275
     1  11 1,-0.95
     1  111 ,-0.904875
     1  1111,-0.95
     1 1    ,0.005242124
     1 1   1,-0.708035025
     1 1  1 ,-0.95
     1 1  11,0.740900338
     1 1 1  ,-0.703855321
     1 1 1 1,-0.034916865
     1 1 11 ,-0.95
     1 1 111,-0.827395093
     1 11   ,-1.570041275
     1 11  1,0
     1 11 1 ,1.9025
     1 11 11,-1.376993234
     1 111  ,-0.95
     1 111 1,-0.868120405
     1 1111 ,-1.641901343
     1 11111,0.870942203
11,0
     11    1,-0.703855321
     11   1 ,-0.857375
     11   11,-0.034916865
     11  1  ,-1.367275753
     11  1 1,-0.292693724
     11  11 ,-0.073605912
     11  111,-0.737026343
     11 1   ,-0.703855321
     11 1  1,-0.125285615
     11 1 1 ,0.700175026
     11 1 11,-0.95
     11 11  ,-0.292693724
     11 11 1,-1.376993234
     11 111 ,-0.698337296
     11 1111,-0.257776859
111,-0.703855321
     111   1,0
     111  1 ,0
     111  11,-1.641901343
     111 1  ,-0.034916865
     111 1 1,-0.779895093
     111 11 ,-0.779895093
     111 111,-0.169783109
1111,0
     1111  1,-0.006114155
     1111 1 ,-1.464986984
     1111 11,1.644723141
11111,-1.472118234
     11111 1,0
111111,-0.0475
1111111,-0.766649687
1,-0.603716957
    1      1,-0.03151247
    1     1 ,-0.03151247
    1     11,0.033171022
    1    1  ,-0.03151247
    1    1 1,-0.703855321
    1    11 ,-0.665166275
    1    111,-0.034916865
    1   1   ,-0.03151247
    1   1  1,-0.668938457
    1   1 1 ,-0.703855321
    1   1 11,-0.034916865
    1   11  ,-0.703855321
    1   11 1,0.704145744
    1   111 ,-0.034916865
    1   1111,-0.779895093
    1  1    ,-0.03151247
    1  1   1,-0.665166275
    1  1  1 ,-0.665166275
    1  1  11,-0.034916865
    1  1 1  ,-0.665166275
    1  1 1 1,-0.034916865
    1  1 11 ,-0.034916865
    1  1 111,-0.698337296
    1  11   ,-0.703855321
    1  11  1,0
    1  11 1 ,0.700175026
    1  11 11,-0.872520093
    1  111  ,-0.034916865
    1  111 1,-1.729895093
    1  1111 ,-0.737026343
    1  11111,-0.95
    1 1     ,0
    1 1    1,-0.740609916
    1 1   1 ,-0.703855321
    1 1   11,-0.034916865
    1 1  1  ,-0.668938457
    1 1  1 1,0
    1 1  11 ,-0.04286875
    1 1  111,-0.737026343
    1 1 1   ,-0.665166275
    1 1 1  1,-0.95
    1 1 1 1 ,0
    1 1 1 11,-0.737026343
    1 1 11  ,-0.200729256
    1 1 11 1,-2.422118234
    1 1 111 ,-0.779895093
    1 1 1111,-0.086189047
    1 11    ,-0.665166275
    1 11   1,-0.034916865
    1 11  1 ,-0.034916865
    1 11  11,-0.820620405
    1 11 1  ,0
    1 11 1 1,-0.913245405
    1 11 11 ,-0.657611984
    1 11 111,-0.129057797
    1 111   ,0.700175026
    1 111  1,-0.779895093
    1 111 1 ,-0.827395093
    1 111 11,0
    1 1111  ,-0.868120405
    1 1111 1,2.594723141
    1 11111 ,-0.257776859
    1 111111,-0.864149687
11,-0.03151247
    11     1,-0.703855321
    11    1 ,-0.695484916
    11    11,-0.034916865
    11   1  ,-0.665166275
    11   1 1,-0.034916865
    11   11 ,-0.034916865
    11   111,-0.820620405
    11  1   ,-0.668938457
    11  1  1,-0.034916865
    11  1 1 ,0.779589385
    11  1 11,-0.872520093
    11  11  ,-0.073605912
    11  11 1,-1.729895093
    11  111 ,-0.827395093
