Game Number,Test Agent,Win Percentage,Draw Percentage,Loss Percentage
200,random_player,0.516,0.0,0.484
200,moderate_player,0.0,0.0,1.0
200,advanced_player,0.005,0.0,0.995
400,random_player,0.489,0.0,0.511
400,moderate_player,0.001,0.0,0.999
400,advanced_player,0.001,0.0,0.999
600,random_player,0.468,0.0,0.532
600,moderate_player,0.002,0.0,0.998
600,advanced_player,0.002,0.0,0.998
800,random_player,0.473,0.0,0.527
800,moderate_player,0.003,0.0,0.997
800,advanced_player,0.003,0.0,0.997
1000,random_player,0.469,0.0,0.531
1000,moderate_player,0.002,0.0,0.998
1000,advanced_player,0.0,0.0,1.0
1200,random_player,0.569,0.0,0.431
1200,moderate_player,0.002,0.0,0.998
1200,advanced_player,0.0,0.0,1.0
1400,random_player,0.565,0.0,0.435
1400,moderate_player,0.005,0.0,0.995
1400,advanced_player,0.003,0.0,0.997
1600,random_player,0.586,0.0,0.414
1600,moderate_player,0.011,0.0,0.989
1600,advanced_player,0.006,0.0,0.994
1800,random_player,0.626,0.0,0.374
1800,moderate_player,0.008,0.0,0.992
1800,advanced_player,0.006,0.0,0.994
2000,random_player,0.564,0.0,0.436
2000,moderate_player,0.006,0.0,0.994
2000,advanced_player,0.001,0.0,0.999
2200,random_player,0.551,0.0,0.449
2200,moderate_player,0.005,0.0,0.995
2200,advanced_player,0.002,0.0,0.998
2400,random_player,0.494,0.0,0.506
2400,moderate_player,0.005,0.0,0.995
2400,advanced_player,0.0,0.0,1.0
2600,random_player,0.558,0.0,0.442
2600,moderate_player,0.004,0.0,0.996
2600,advanced_player,0.0,0.0,1.0
2800,random_player,0.578,0.0,0.422
2800,moderate_player,0.009,0.0,0.991
2800,advanced_player,0.001,0.0,0.999
3000,random_player,0.513,0.0,0.487
3000,moderate_player,0.001,0.0,0.999
3000,advanced_player,0.0,0.0,1.0
3200,random_player,0.523,0.0,0.477
3200,moderate_player,0.008,0.0,0.992
3200,advanced_player,0.009,0.0,0.991
3400,random_player,0.509,0.0,0.491
3400,moderate_player,0.014,0.0,0.986
3400,advanced_player,0.001,0.0,0.999
3600,random_player,0.515,0.0,0.485
3600,moderate_player,0.009,0.0,0.991
3600,advanced_player,0.004,0.0,0.996
3800,random_player,0.511,0.0,0.489
3800,moderate_player,0.007,0.0,0.993
3800,advanced_player,0.002,0.0,0.998
4000,random_player,0.494,0.0,0.506
4000,moderate_player,0.011,0.0,0.989
4000,advanced_player,0.007,0.0,0.993
4200,random_player,0.46,0.0,0.54
4200,moderate_player,0.008,0.0,0.992
4200,advanced_player,0.007,0.0,0.993
4400,random_player,0.499,0.0,0.501
4400,moderate_player,0.017,0.0,0.983
4400,advanced_player,0.006,0.0,0.994
4600,random_player,0.528,0.0,0.472
4600,moderate_player,0.018,0.0,0.982
4600,advanced_player,0.012,0.0,0.988
4800,random_player,0.515,0.0,0.485
4800,moderate_player,0.017,0.0,0.983
4800,advanced_player,0.014,0.0,0.986
5000,random_player,0.54,0.0,0.46
5000,moderate_player,0.004,0.0,0.996
5000,advanced_player,0.003,0.0,0.997
5200,random_player,0.591,0.0,0.409
5200,moderate_player,0.009,0.0,0.991
5200,advanced_player,0.003,0.0,0.997
5400,random_player,0.569,0.0,0.431
5400,moderate_player,0.006,0.0,0.994
5400,advanced_player,0.003,0.0,0.997
5600,random_player,0.572,0.0,0.428
5600,moderate_player,0.014,0.0,0.986
5600,advanced_player,0.004,0.0,0.996
5800,random_player,0.577,0.0,0.423
5800,moderate_player,0.001,0.0,0.999
5800,advanced_player,0.0,0.0,1.0
6000,random_player,0.573,0.0,0.427
6000,moderate_player,0.003,0.0,0.997
6000,advanced_player,0.0,0.0,1.0
6200,random_player,0.544,0.0,0.456
6200,moderate_player,0.008,0.0,0.992
6200,advanced_player,0.004,0.0,0.996
6400,random_player,0.509,0.0,0.491
6400,moderate_player,0.003,0.0,0.997
6400,advanced_player,0.008,0.0,0.992
6600,random_player,0.499,0.0,0.501
6600,moderate_player,0.005,0.0,0.995
6600,advanced_player,0.004,0.0,0.996
6800,random_player,0.537,0.0,0.463
6800,moderate_player,0.008,0.0,0.992
6800,advanced_player,0.007,0.0,0.993
7000,random_player,0.563,0.0,0.437
7000,moderate_player,0.016,0.0,0.984
7000,advanced_player,0.017,0.0,0.983
7200,random_player,0.548,0.0,0.452
7200,moderate_player,0.007,0.0,0.993
7200,advanced_player,0.004,0.0,0.996
7400,random_player,0.569,0.0,0.431
7400,moderate_player,0.009,0.0,0.991
7400,advanced_player,0.001,0.0,0.999
7600,random_player,0.536,0.0,0.464
7600,moderate_player,0.01,0.0,0.99
7600,advanced_player,0.003,0.0,0.997
7800,random_player,0.57,0.0,0.43
7800,moderate_player,0.013,0.0,0.987
7800,advanced_player,0.002,0.0,0.998
8000,random_player,0.576,0.0,0.424
8000,moderate_player,0.002,0.0,0.998
8000,advanced_player,0.002,0.0,0.998
8200,random_player,0.541,0.0,0.459
8200,moderate_player,0.006,0.0,0.994
8200,advanced_player,0.003,0.0,0.997
8400,random_player,0.566,0.0,0.434
8400,moderate_player,0.009,0.0,0.991
8400,advanced_player,0.002,0.0,0.998
8600,random_player,0.581,0.0,0.419
8600,moderate_player,0.003,0.0,0.997
8600,advanced_player,0.0,0.0,1.0
8800,random_player,0.572,0.0,0.428
8800,moderate_player,0.005,0.0,0.995
8800,advanced_player,0.0,0.0,1.0
9000,random_player,0.569,0.0,0.431
9000,moderate_player,0.0,0.0,1.0
9000,advanced_player,0.0,0.0,1.0
9200,random_player,0.579,0.0,0.421
9200,moderate_player,0.006,0.0,0.994
9200,advanced_player,0.001,0.0,0.999
9400,random_player,0.55,0.0,0.45
9400,moderate_player,0.006,0.0,0.994
9400,advanced_player,0.001,0.0,0.999
9600,random_player,0.577,0.0,0.423
9600,moderate_player,0.002,0.0,0.998
9600,advanced_player,0.002,0.0,0.998
9800,random_player,0.547,0.0,0.453
9800,moderate_player,0.004,0.0,0.996
9800,advanced_player,0.0,0.0,1.0
10000,random_player,0.555,0.0,0.445
10000,moderate_player,0.009,0.0,0.991
10000,advanced_player,0.005,0.0,0.995
